row_id,TEXT,LABEL,source
65_nlpaug,"so many documentaries like this presuppose the bigotry or zealous nuttiness of its antagonists , but family guy displays a rare gift for unflinching impartiality .",1,nlpaug
66,flaccid drama and exasperatingly slow journey .,0,original
66_nlpaug,"flaccid , and exasperatingly slow journey .",0,nlpaug
67,the movie will reach far beyond its core demographic .,1,original
67_nlpaug,the movie will reach far beyond its core demographic .,1,nlpaug
68,one to another company and two to amazon . com .,1,original
68_nlpaug,one to another company and two to amazon . com .,1,nlpaug
69,"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0,original
69_nlpaug,"although howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough violence and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0,nlpaug
70,it stays stable in your ear very nicely and is surprisingly very comfortable .,1,original
70_nlpaug,it stays stable in your ear very nicely and is surprisingly very comfortable .,1,nlpaug
71,the material that it is made of is like a dirt magnet .,0,original
71_nlpaug,the material that it is made of is like a dirt magnet .,0,nlpaug
72,a meeting my phone is in the bag charging .,1,original
72_nlpaug,after meeting my phone is in the bag charging .,1,nlpaug
73,if you can afford it step up to something that will last .,0,original
73_nlpaug,if you can afford it step up to something that will last .,0,nlpaug
74,i would not trust anything bigger than iphone num_extend,0,original
74_nlpaug,i would never trust anything bigger than iphone num_extend,0,nlpaug
75,i was concerned for the price that these measuring cups would be flimsy .,1,original
75_nlpaug,i was concerned about the price that these measuring cups would be flimsy .,1,nlpaug
76,the movie exists for its soccer action and its fine acting .,1,original
76_nlpaug,the movie praised for its soccer action and its fine acting .,1,nlpaug
77,the bottom most container is not as small as one would think .,1,original
77_nlpaug,the bottom most container is not as small as one would think .,1,nlpaug
78,"usually when i get this much syrup , i like pancakes to go with it .",0,original
78_nlpaug,"usually when i get this maple syrup , i like pancakes to go with it .",0,nlpaug
79,"this headset is awesome ,  the sound quality is truly amazing .",1,original
79_nlpaug,"this headset is awesome , the sound quality is truly amazing .",1,nlpaug
80,ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .,1,original
80_nlpaug,ford is to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .,1,nlpaug
81,trying to slide to a different screen instantly turns it back off .,0,original
81_nlpaug,trying to slide to a different screen instantly turns it back off .,0,nlpaug
82,steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1,original
82_nlpaug,the irwin 's method is ernest hemmingway at accelerated speed and volume .,1,nlpaug
83,that is sufficiently minor as to not affect my rating .,1,original
83_nlpaug,that is sufficiently minor as to not affect my rating .,1,nlpaug
84,"the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,original
84_nlpaug,"the song , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,nlpaug
85,high crimes miscasts nearly every leading character .,0,original
85_nlpaug,high crimes miscasts almost every leading character .,0,nlpaug
86,a captivating cross-cultural comedy of manners .,1,original
86_nlpaug,a captivating cross-cultural comedy of manners .,1,nlpaug
87,"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,original
87_nlpaug,"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,nlpaug
88,life is a crock -- or something like it .,0,original
88_nlpaug,life was a crock -- or something like it .,0,nlpaug
89,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",1,original
89_nlpaug,"for its seriousness , high literary aspirations and good acting , the film can only be praised .",1,nlpaug
90,replaced my pampered chef garlic press with this one .,1,original
90_nlpaug,replaced my pampered little garlic press with this one .,1,nlpaug
91,i love the floral design and the colors .,1,original
91_nlpaug,i love the floral design and the colors .,1,nlpaug
92,i have read reviews from wine experts that it doesn t work .,1,original
92_nlpaug,i have read reviews from wine experts that it doesn t work .,1,nlpaug
93,a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,1,original
93_nlpaug,a richly imagined and admirably mature work from a gifted artist who definitely has something on his mind .,1,nlpaug
94,"superior genre storytelling , which gets under our skin simply by crossing the nuclear line .",1,original
94_nlpaug,"superior genre storytelling , which gets under our skin simply by crossing the nuclear line .",1,nlpaug
95,fear dot com is so rambling and disconnected it never builds any suspense .,0,original
95_nlpaug,fear dot com is so rambling and disconnected it never builds any volume .,0,nlpaug
96,i think i will return and stick with wool gloves .,0,original
96_nlpaug,i think i will return and stick with wool gloves .,0,nlpaug
97,so not that great for leaving on at night .,0,original
97_nlpaug,""" not that great for leaving on at night .",0,nlpaug
98,"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",0,original
98_nlpaug,"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",0,nlpaug
99,"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",0,original
99_nlpaug,"the tug-of-war at the core of the bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",0,nlpaug
100,"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0,original
100_nlpaug,"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0,nlpaug
101,"it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .",0,original
101_nlpaug,"it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .",0,nlpaug
102,imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you 've imagined the ring .,0,original
102_nlpaug,imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you just see the ring .,0,nlpaug
103,i think this size wont do a bigger bird than num_num pounds .,1,original
103_nlpaug,i think this size wont do a better bird than num_num pounds .,1,nlpaug
104,"it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",1,original
104_nlpaug,"it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids with welcome role models and optimism .",1,nlpaug
105,"it s very black ,  and it does add volume .",0,original
105_nlpaug,"it s very simple , and it does add volume .",0,nlpaug
106,i don t see what others have liked about this .,0,original
106_nlpaug,i don t see what others have liked about this .,0,nlpaug
107,i received them as a christmas present and i love them .,1,original
107_nlpaug,i received them as a christmas present and i love them .,1,nlpaug
108,i was glad to see it was still available .,1,original
108_nlpaug,i was glad to see it was still available .,1,nlpaug
109,nice not to have a burner going for hours .,1,original
109_nlpaug,nice not to have a burner going for hours .,1,nlpaug
110,the last time i did it was a year ago  .,1,original
110_nlpaug,the last time i did it was a year ago .,1,nlpaug
111,i purchased two to mount horizontally under the shelves of my kitchen island .,1,original
111_nlpaug,i purchased two to mount up under the shelves of my kitchen island .,1,nlpaug
112,"the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .",1,original
112_nlpaug,"the pleasures of super troopers may be limited , but they 'll register well with anybody who still retains a soft spot for precollegiate humor .",1,nlpaug
113,plugs the ipad into my car and works great .,1,original
113_nlpaug,plugs the ipad into the car and works great .,1,nlpaug
114,the flap also is good and does not come loose at all .,1,original
114_nlpaug,the flap also is good and does not come loose at all .,1,nlpaug
115,"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",1,original
115_nlpaug,"it 's a sly wink to the eye without becoming a postmodern joke , made creepy by its ' men with a sardine can '' warped logic .",1,nlpaug
116,"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",0,original
116_nlpaug,"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last person living .",0,nlpaug
117,i purchased this jawbone hd as a replacement for an older jawbone thinker .,0,original
117_nlpaug,i purchased this jawbone hd as a replacement for an older jawbone thinker .,0,nlpaug
118,but what spectacular sizzle it is !,1,original
118_nlpaug,but what spectacular sight it is !,1,nlpaug
119,"toasts bread ,  muffins and bagels with lots of options to choose .",1,original
119_nlpaug,"toasts bread , muffins and bagels with lots of options to choose .",1,nlpaug
120,"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style .",0,original
120_nlpaug,"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and inconsistent in its style .",0,nlpaug
121,a film that is a portrait of grace in an imperfect world .,1,original
121_nlpaug,a film that is a portrait of grace in an imperfect world .,1,nlpaug
122,"herzog is obviously looking for a moral to his fable , but the notion that a strong , unified showing among germany and eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .",0,original
122_nlpaug,"herzog is obviously looking for a moral to his fable , but the notion that a strong , unified showing among germany that eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .",0,nlpaug
123,"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,original
123_nlpaug,"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing cast and weak performances .",0,nlpaug
124,"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,original
124_nlpaug,"dialogue-heavy , too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,nlpaug
125,i use it charge my batteries since my usb port is not an option .,1,original
125_nlpaug,i let it charge my batteries since my usb port is not an option .,1,nlpaug
126,"feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .",0,original
126_nlpaug,"more like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .",0,nlpaug
127,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,original
127_nlpaug,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- but accurate -- imitation .,0,nlpaug
128,"great charger ,  though there may be cheaper options .",1,original
128_nlpaug,"great charger , though , may be cheaper options .",1,nlpaug
129,all my testing proves the same . hope that helps .,1,original
129_nlpaug,all my testing proves the same . and that helps .,1,nlpaug
130,i ve used these a few times and broke them very easily .,0,original
130_nlpaug,i had used these a few times and broke them very easily .,0,nlpaug
131,so far i am not at all happy .,0,original
131_nlpaug,so far i am not at all happy .,0,nlpaug
132,"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind .",1,original
132_nlpaug,"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind .",1,nlpaug
133,westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing .,1,original
133_nlpaug,westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing .,1,nlpaug
134,but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,1,original
134_nlpaug,but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,1,nlpaug
135,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,original
135_nlpaug,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic grief and fear .,1,nlpaug
136,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0,original
136_nlpaug,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0,nlpaug
137,"order it with something else ,  and you ll get free shipping .",1,original
137_nlpaug,"order it with something else , and you can get free shipping .",1,nlpaug
138,the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0,original
138_nlpaug,the only element of suspense is whether the movie will change titles or distributors just before the closing credits roll .,0,nlpaug
139,"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",1,original
139_nlpaug,"shainberg weaves a carefully balanced narrative that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",1,nlpaug
140,no. .,0,original
140_nlpaug,p .,0,nlpaug
141,these run quite small even though they are stretchy .,0,original
141_nlpaug,these run quite small even though they are stretchy .,0,nlpaug
142,"whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .",1,original
142_nlpaug,"whether seen on a 10-inch television screen or at a local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .",1,nlpaug
143,this case is far from what i expected .,0,original
143_nlpaug,this case is far from what i expected .,0,nlpaug
144,"as a singular character study , it 's perfect .",1,original
144_nlpaug,"as a good character study , it 's perfect .",1,nlpaug
145,"complex , affecting and uniquely almod??var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong .",1,original
145_nlpaug,"complex , affecting and uniquely almod??var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong .",1,nlpaug
146,the smartest bonehead comedy of the summer .,1,original
146_nlpaug,the smartest bonehead comedy of the summer .,1,nlpaug
147,it is best to invest in a good set of makeup brushes .,0,original
147_nlpaug,it is best to invest in a good set of makeup artists .,0,nlpaug
148,i made flour tortillas that night for our mexican burrito dinner .,1,original
148_nlpaug,i made flour tortillas that night for our mexican burrito dinner .,1,nlpaug
149,i would not buy anything else from this vendor .,0,original
149_nlpaug,he would not buy anything else from this vendor .,0,nlpaug
150,there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,original
150_nlpaug,there are films that test the patience of even the most cinema-besotted critic -- and this was one of them .,0,nlpaug
151,this salad spinner is durable and easy to use .,1,original
151_nlpaug,this salad spinner is durable and easy to use .,1,nlpaug
152,"for the price ,  this is a good buy .",1,original
152_nlpaug,"for the moment , this is a good buy .",1,nlpaug
153,but fans should have fun meeting a brand-new pokemon called celebi .,1,original
153_nlpaug,but fans should have fun meeting a brand-new pokemon called celebi .,1,nlpaug
154,"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0,original
154_nlpaug,"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's dry , sarcastic wit .",0,nlpaug
155,not to mention it did not fit my screen completely .,0,original
155_nlpaug,not to mention it did not cover my screen completely .,0,nlpaug
156,there are num_num bright leds for taking pictures or just as a flashlight .,1,original
156_nlpaug,"there are num_num bright leds for taking pictures , just as a flashlight .",1,nlpaug
157,"i enjoyed the ride -lrb- bumps and all -rrb- , creamy depth , and ultimate theme .",1,original
157_nlpaug,"i enjoyed the ride -lrb- , the all -rrb- , creamy depth , and ultimate theme .",1,nlpaug
158,"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink .",0,original
158_nlpaug,"i saw knockaround guys yesterday , and all the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes into invisible ink .",0,nlpaug
159,my dish feels very solid to the touch .,1,original
159_nlpaug,the dish feels very solid to the touch .,1,nlpaug
160,$ is too much to pay for a $ cable .,0,original
160_nlpaug,$ is too much to pay for a $ one .,0,nlpaug
161,"by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .",1,original
161_nlpaug,"at the end of no such thing the audience , like beatrice , has a watchful affection for the monster .",1,nlpaug
162,but it pays a price for its intricate intellectual gamesmanship .,0,original
162_nlpaug,but it pays a price for its intricate intellectual properties .,0,nlpaug
163,we have been treating our hair for months and finally got this .,0,original
163_nlpaug,we have been treating our hair for months and finally got this .,0,nlpaug
164,i bought this set for our toaster oven .,0,original
164_nlpaug,i have this set for our toaster oven .,0,nlpaug
165,just hurry up and play the darn song and move on for goodness sake .,0,original
165_nlpaug,just hurry up and play the darn song and move on for goodness sake .,0,nlpaug
166,"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .",0,original
166_nlpaug,"the plot is straight off the shelf , the performances are television - like and the message of providing solace through deception is a little creepy .",0,nlpaug
167,while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0,original
167_nlpaug,while mcfarlane 's animation lifts the film firmly to the level of other disney films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0,nlpaug
168,"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true .",1,original
168_nlpaug,"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true .",1,nlpaug
169,this one does the job i need it for !  .,1,original
169_nlpaug,this one does the job i need it ! ! .,1,nlpaug
170,"when it 's all wet , blue crush is highly enjoyable .",1,original
170_nlpaug,"when it 's all wet , blue crush is highly enjoyable .",1,nlpaug
171,unfortunately this product did not do much for me .,0,original
171_nlpaug,unfortunately this product did not do much for me .,0,nlpaug
172,still it is a fun learning experience and so far so good .,1,original
172_nlpaug,still it is a fun learning experience and so far so good .,1,nlpaug
173,a deviant topical comedy which is funny from start to finish .,1,original
173_nlpaug,a deviant topical comedy which is funny from start to finish .,1,nlpaug
174,if you can get past the fantastical aspects and harsh realities of `` the isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .,1,original
174_nlpaug,if you can get past the fantastical aspects and harsh realities of `` the isle '' you 'll get a sock-you-in-the-eye flick that is a visual adventure and a movie that is unlike any you will likely see anywhere else .,1,nlpaug
175,this did not stop odor and my pets wanted to eat it .,0,original
175_nlpaug,this did not stop odor and my pets wanted to see it .,0,nlpaug
176,not a good product for conditioning even though it says it has shea butter .,0,original
176_nlpaug,not a good recipe for conditioning even though it says it has no butter .,0,nlpaug
177,he s heavy and stable enough to not tip over when it s windy .,1,original
177_nlpaug,he s heavy and stable enough to not tip over when it s windy .,1,nlpaug
178,the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,original
178_nlpaug,the filmmakers skillfully evoke a sense of menace that fear holds for many urban dwellers .,1,nlpaug
